FILENAME;category;resolution;# subjects;MOS full;MOS chunk00;MOS chunk05;MOS chunk10;std full;std chunk00;std chunk05;std chunk10
Gaming_360P-0b98;Gaming;360;134;3.14;2.72;2.512;3.334;0.728;0.73;0.925;0.642
Gaming_360P-0e0b;Gaming;360;118;3.006;3.225;3.398;3.457;0.685;0.548;0.612;0.538
Gaming_360P-187a;Gaming;360;126;3.133;3.001;3.198;3.062;0.667;0.656;0.589;0.654
Gaming_360P-1ab1;Gaming;360;118;2.964;2.972;2.921;2.858;0.699;0.623;0.638;0.666
Gaming_360P-1e31;Gaming;360;147;2.186;1.775;2.126;2.551;0.939;0.643;0.825;0.77
Gaming_360P-2141;Gaming;360;130;1.927;1.783;1.864;1.808;0.845;0.708;0.682;0.652
Gaming_360P-215f;Gaming;360;120;2.869;2.775;2.748;2.745;0.677;0.659;0.721;0.573
Gaming_360P-2164;Gaming;360;111;3.245;3.034;2.954;3.004;0.697;0.629;0.671;0.641
Gaming_360P-21d2;Gaming;360;127;2.372;2.066;1.967;2.196;0.671;0.791;0.715;0.618
Gaming_360P-2330;Gaming;360;120;2.608;2.284;2.458;2.475;0.739;0.57;0.756;0.536
Gaming_360P-279f;Gaming;360;127;2.841;2.635;2.822;2.844;0.59;0.708;0.652;0.661
Gaming_360P-2cca;Gaming;360;125;3.374;3.104;3.327;3.185;0.527;0.662;0.547;0.679
Gaming_360P-2f99;Gaming;360;129;3.281;3.281;3.349;3.083;0.709;0.463;0.556;0.63
Gaming_360P-3794;Gaming;360;113;1.475;1.399;1.517;1.415;0.547;0.483;0.617;0.503
Gaming_360P-3a6b;Gaming;360;123;2.763;2.814;2.724;2.717;0.727;0.712;0.682;0.693
Gaming_360P-3eb6;Gaming;360;145;3.184;3.119;3.011;2.973;0.658;0.627;0.683;0.739
Gaming_360P-48b0;Gaming;360;110;3.427;3.399;3.245;3.168;0.5;0.503;0.563;0.553
Gaming_360P-4f09;Gaming;360;124;3.506;3.342;3.428;3.224;0.634;0.622;0.619;0.589
Gaming_360P-5635;Gaming;360;132;3.102;2.983;3.163;3.065;0.647;0.59;0.586;0.644
Gaming_360P-56fe;Gaming;360;127;2.439;2.293;2.041;2.305;0.767;0.705;0.665;0.571
Gaming_360P-586d;Gaming;360;109;3.026;2.813;2.827;2.911;0.743;0.648;0.67;0.647
Gaming_360P-5e0f;Gaming;360;123;3.012;2.895;2.992;3.125;0.695;0.66;0.619;0.696
Gaming_360P-6207;Gaming;360;113;3.349;3.27;3.225;3.278;0.613;0.496;0.667;0.583
Gaming_360P-63e6;Gaming;360;117;2.636;2.364;2.295;2.31;0.726;0.589;0.513;0.521
Gaming_360P-6bdb;Gaming;360;123;2.934;2.799;2.821;2.95;0.678;0.679;0.651;0.697
Gaming_360P-7007;Gaming;360;126;3.194;3.039;3.237;3.551;0.666;0.64;0.669;0.597
Gaming_360P-73c7;Gaming;360;124;3.247;3.173;3.174;3.17;0.67;0.558;0.572;0.631
Gaming_360P-7975;Gaming;360;127;2.761;2.705;2.672;2.342;0.665;0.668;0.571;0.527
Gaming_360P-7acb;Gaming;360;106;3.059;2.981;2.811;2.783;0.6;0.629;0.602;0.601
Gaming_480P-0109;Gaming;480;118;2.436;2.406;2.536;2.468;0.585;0.51;0.518;0.55
Gaming_480P-062e;Gaming;480;116;3.435;3.178;3.122;3.099;0.531;0.562;0.584;0.668
Gaming_480P-09ab;Gaming;480;128;3.795;3.747;3.829;3.78;0.567;0.571;0.552;0.511
Gaming_480P-0a03;Gaming;480;124;2.676;2.163;2.171;2.202;0.749;0.743;0.563;0.744
Gaming_480P-0a30;Gaming;480;105;2.661;2.325;2.378;2.396;0.723;0.506;0.562;0.598
Gaming_480P-0d23;Gaming;480;113;3.466;3.348;3.272;3.133;0.583;0.565;0.677;0.71
Gaming_480P-0dbc;Gaming;480;114;2.973;2.851;2.968;2.938;0.611;0.57;0.616;0.61
Gaming_480P-14fc;Gaming;480;124;3.822;3.725;3.809;3.812;0.503;0.593;0.464;0.496
Gaming_480P-1542;Gaming;480;104;2.776;2.494;2.578;2.591;0.657;0.593;0.565;0.613
Gaming_480P-20ca;Gaming;480;117;2.891;2.752;2.73;2.533;0.731;0.659;0.683;0.55
Gaming_480P-2cfc;Gaming;480;119;3.961;3.766;3.836;3.902;0.491;0.491;0.44;0.506
Gaming_480P-2d1b;Gaming;480;125;3.948;4.027;3.773;3.702;0.432;0.368;0.447;0.379
Gaming_480P-3888;Gaming;480;121;3.464;3.56;3.516;3.713;0.563;0.502;0.446;0.505
Gaming_480P-3a44;Gaming;480;112;3.043;2.862;2.951;2.982;0.607;0.65;0.651;0.618
Gaming_480P-445b;Gaming;480;106;3.714;3.786;3.796;3.648;0.523;0.476;0.505;0.504
Gaming_480P-4560;Gaming;480;114;3.904;3.82;3.899;3.89;0.527;0.489;0.535;0.478
Gaming_480P-5a5a;Gaming;480;130;3.478;3.171;3.298;3.515;0.583;0.733;0.667;0.598
Gaming_480P-61ee;Gaming;480;115;3.631;3.435;3.46;3.24;0.503;0.491;0.502;0.667
Gaming_480P-626a;Gaming;480;122;3.786;3.701;3.498;3.633;0.498;0.48;0.52;0.505
Gaming_480P-6491;Gaming;480;122;3.013;2.827;2.937;3.113;0.695;0.675;0.587;0.616
Gaming_480P-6548;Gaming;480;126;2.871;2.39;2.17;2.924;0.727;0.731;0.739;0.696
Gaming_480P-6a5a;Gaming;480;124;3.468;3.343;3.26;3.425;0.512;0.545;0.668;0.533
Gaming_480P-6c92;Gaming;480;140;2.348;1.968;2.094;2.292;0.899;0.673;0.727;0.551
Gaming_480P-6cdc;Gaming;480;127;2.425;2.23;2.162;2.463;0.527;0.484;0.493;0.504
Gaming_480P-6d1e;Gaming;480;117;2.674;2.403;2.475;2.446;0.632;0.522;0.621;0.578
Gaming_480P-6f4b;Gaming;480;120;3.67;3.588;3.509;3.603;0.494;0.537;0.53;0.493
Gaming_480P-75f7;Gaming;480;127;2.798;2.584;2.906;2.943;0.728;0.737;0.663;0.663
Gaming_480P-7893;Gaming;480;105;2.761;2.688;2.864;2.52;0.551;0.757;0.594;0.524
Gaming_480P-7a08;Gaming;480;128;3.792;3.653;3.506;3.65;0.567;0.595;0.721;0.563
Gaming_480P-7ccb;Gaming;480;118;3.581;3.339;3.51;3.533;0.506;0.543;0.508;0.544
Gaming_480P-7e76;Gaming;480;117;2.397;1.907;2.191;1.998;0.695;0.708;0.557;0.621
Gaming_720P-0fba;Gaming;720;120;4.089;3.752;3.715;3.803;0.61;0.52;0.492;0.563
Gaming_720P-0fdb;Gaming;720;115;3.263;2.91;3.071;3.26;0.689;0.766;0.728;0.681
Gaming_720P-1035;Gaming;720;137;3.683;3.708;3.646;3.58;0.499;0.582;0.5;0.58
Gaming_720P-103a;Gaming;720;127;4.056;3.944;4.004;3.983;0.61;0.488;0.414;0.501
Gaming_720P-1cbb;Gaming;720;124;4.01;3.89;4.096;3.927;0.533;0.537;0.568;0.5
Gaming_720P-221d;Gaming;720;135;3.252;3.168;3.151;3.214;0.66;0.639;0.666;0.629
Gaming_720P-25aa;Gaming;720;127;2.952;2.868;2.861;2.858;0.886;0.792;0.773;0.851
Gaming_720P-2dbe;Gaming;720;138;4.327;4.242;4.21;4.116;0.489;0.615;0.564;0.605
Gaming_720P-312f;Gaming;720;125;3.826;3.791;3.761;3.709;0.5;0.545;0.541;0.512
Gaming_720P-324d;Gaming;720;113;3.145;2.468;2.972;2.865;0.843;0.999;0.805;0.877
Gaming_720P-3524;Gaming;720;114;3.11;2.93;2.445;2.161;0.728;0.835;0.725;0.814
Gaming_720P-40b2;Gaming;720;124;3.855;3.914;3.841;3.731;0.435;0.516;0.546;0.48
Gaming_720P-469a;Gaming;720;143;4.124;4.201;3.977;3.917;0.575;0.52;0.553;0.475
Gaming_720P-4813;Gaming;720;109;4.29;4.144;4.089;3.908;0.433;0.526;0.434;0.569
Gaming_720P-493e;Gaming;720;113;3.567;3.701;3.676;3.247;0.565;0.639;0.92;0.733
Gaming_720P-4cda;Gaming;720;122;3.62;3.446;3.593;3.445;0.512;0.574;0.505;0.465
Gaming_720P-5973;Gaming;720;123;4.067;4.104;4.096;4.063;0.474;0.628;0.642;0.613
Gaming_720P-5ba2;Gaming;720;107;4.281;4.275;4.35;4.304;0.564;0.441;0.468;0.492
Gaming_720P-6403;Gaming;720;121;4.023;3.955;4.31;3.934;0.445;0.517;0.493;0.526
Gaming_720P-64b0;Gaming;720;108;4.396;4.285;4.384;4.44;0.48;0.511;0.483;0.48
Gaming_720P-6625;Gaming;720;120;3.813;3.537;4.055;3.711;0.476;0.749;0.663;0.607
Gaming_720P-6658;Gaming;720;123;3.715;3.721;3.488;3.421;0.498;0.548;0.437;0.468
Gaming_720P-6a45;Gaming;720;120;3.967;4.094;4.134;3.963;0.532;0.621;0.604;0.476
Gaming_720P-7afd;Gaming;720;125;2.486;2.283;2.722;2.602;0.755;0.637;0.588;0.541
HDR_1080P-0d31;HDR;1080;139;4.373;4.072;3.888;3.69;0.507;0.521;0.512;0.49
HDR_1080P-13eb;HDR;1080;125;3.761;3.642;3.747;3.658;0.484;0.607;0.757;0.546
HDR_1080P-1be2;HDR;1080;122;3.756;4.021;3.658;3.696;0.495;0.642;0.547;0.55
HDR_1080P-1e5b;HDR;1080;128;1.242;1.24;1.238;1.206;0.431;0.376;0.413;0.323
HDR_1080P-206d;HDR;1080;109;3.791;3.563;3.978;3.885;0.576;0.839;0.706;0.573
HDR_1080P-282a;HDR;1080;117;4.038;3.578;3.94;4.324;0.512;0.638;0.554;0.518
HDR_1080P-2d32;HDR;1080;141;4.503;4.48;4.348;4.551;0.488;0.437;0.591;0.492
HDR_1080P-3181;HDR;1080;114;3.777;3.763;3.402;3.381;0.594;0.54;0.712;0.742
HDR_1080P-33e3;HDR;1080;141;4.45;4.451;4.272;4.161;0.467;0.443;0.528;0.57
HDR_1080P-3521;HDR;1080;132;3.895;4.15;4.195;4.185;0.495;0.574;0.534;0.61
HDR_1080P-35f4;HDR;1080;125;4.16;4.051;3.954;3.96;0.6;0.618;0.558;0.529
HDR_1080P-3749;HDR;1080;131;4.08;3.949;4.015;3.89;0.587;0.47;0.55;0.523
HDR_1080P-3a4a;HDR;1080;127;3.824;3.921;3.664;3.894;0.438;0.388;0.539;0.535
HDR_1080P-46a4;HDR;1080;122;3.582;3.667;3.376;3.432;0.728;0.755;0.76;0.8
HDR_1080P-49d6;HDR;1080;148;4.589;4.675;4.63;4.661;0.395;0.391;0.418;0.396
HDR_1080P-4f4a;HDR;1080;125;3.51;3.433;3.298;3.474;0.838;0.765;0.796;0.764
HDR_1080P-548b;HDR;1080;130;4.626;4.763;4.695;4.699;0.412;0.348;0.376;0.37
HDR_1080P-549e;HDR;1080;127;4.064;3.946;3.904;3.968;0.633;0.568;0.598;0.492
HDR_1080P-55c4;HDR;1080;124;4.106;3.276;4.378;4.421;0.584;0.94;0.592;0.477
HDR_1080P-601b;HDR;1080;129;4.318;4.357;4.234;4.438;0.578;0.464;0.648;0.53
HDR_1080P-687e;HDR;1080;134;2.629;3.841;2.287;1.283;1.093;0.541;1.005;0.471
HDR_1080P-68c8;HDR;1080;124;3.804;3.683;3.744;3.774;0.648;0.605;0.622;0.591
HDR_1080P-69de;HDR;1080;124;4.181;4.005;4.005;4.087;0.488;0.404;0.41;0.385
HDR_1080P-6eb7;HDR;1080;134;4.046;3.811;3.877;3.794;0.63;0.455;0.478;0.471
HDR_1080P-7825;HDR;1080;118;4.514;4.498;4.46;4.455;0.453;0.432;0.413;0.424
HDR_2160P-06ae;HDR;2160;130;4.474;4.432;4.382;4.384;0.552;0.604;0.59;0.618
HDR_2160P-0e7a;HDR;2160;112;2.322;2.636;2.475;2.163;1.132;1.166;1.147;1.03
HDR_2160P-15e2;HDR;2160;104;4.191;4.155;4.143;4.243;0.621;0.644;0.61;0.591
HDR_2160P-1743;HDR;2160;142;4.254;3.954;3.919;3.854;0.536;0.623;0.734;0.496
HDR_2160P-1e9e;HDR;2160;132;4.356;4.385;4.441;4.458;0.479;0.6;0.501;0.508
HDR_2160P-2a72;HDR;2160;138;4.113;4.023;3.846;4.076;0.733;0.757;0.639;0.711
HDR_2160P-351f;HDR;2160;106;4.323;4.376;4.285;4.296;0.61;0.621;0.634;0.62
HDR_2160P-3663;HDR;2160;110;4.34;4.349;4.158;4.356;0.7;0.6;0.849;0.683
HDR_2160P-382f;HDR;2160;136;4.309;4.328;4.327;4.364;0.705;0.59;0.573;0.609
HDR_2160P-3bf1;HDR;2160;127;4.544;4.529;4.354;4.57;0.494;0.493;0.668;0.463
HDR_2160P-40ab;HDR;2160;132;4.105;4.113;4.06;4.127;0.611;0.577;0.705;0.695
HDR_2160P-4348;HDR;2160;118;4.466;4.351;4.358;4.403;0.475;0.535;0.572;0.605
HDR_2160P-4581;HDR;2160;118;3.979;4.132;4.091;3.87;0.515;0.603;0.651;0.608
HDR_2160P-4d03;HDR;2160;130;4.203;4.321;4.129;3.935;0.601;0.632;0.677;0.6
HDR_2160P-4dcd;HDR;2160;124;3.763;3.608;3.465;3.65;0.652;0.768;0.87;0.972
HDR_2160P-51ea;HDR;2160;141;4.106;3.982;4.028;3.938;0.59;0.702;0.691;0.517
HDR_2160P-5275;HDR;2160;126;4.206;4.24;4.274;4.099;0.628;0.742;0.669;0.695
HDR_2160P-5926;HDR;2160;113;4.386;4.634;4.297;4.402;0.622;0.496;0.803;0.657
HDR_2160P-5c86;HDR;2160;150;4.388;4.531;4.469;4.593;0.577;0.449;0.562;0.415
HDR_2160P-5cdf;HDR;2160;113;4.296;4.364;4.399;4.307;0.601;0.515;0.467;0.568
HDR_2160P-5e25;HDR;2160;132;4.209;4.086;4.2;4.213;0.638;0.709;0.548;0.624
HDR_2160P-664d;HDR;2160;123;3.753;3.733;3.391;3.017;0.651;0.649;0.713;0.742
HDR_2160P-6c6e;HDR;2160;119;4.566;4.689;4.722;4.707;0.457;0.407;0.365;0.401
HDR_2160P-6ed1;HDR;2160;109;3.724;3.74;3.907;3.969;0.793;0.767;0.743;0.752
HDR_2160P-6eeb;HDR;2160;129;4.402;4.341;4.379;4.429;0.566;0.607;0.625;0.512
HDR_2160P-6fa4;HDR;2160;146;4.266;4.35;4.267;4.38;0.621;0.613;0.688;0.54
HDR_2160P-6fab;HDR;2160;110;3.443;3.496;3.455;3.371;0.764;0.716;0.776;0.852
HDR_2160P-70ca;HDR;2160;122;3.905;4.057;3.95;3.752;0.741;0.643;0.772;0.715
HowTo_1080P-0267;HowTo;1080;144;4.234;4.143;4.194;4.275;0.56;0.673;0.616;0.601
HowTo_1080P-03fd;HowTo;1080;121;3.517;3.44;3.41;3.441;0.468;0.483;0.478;0.526
HowTo_1080P-13aa;HowTo;1080;126;4.336;4.435;4.304;3.977;0.481;0.436;0.455;0.491
HowTo_1080P-1f3b;HowTo;1080;152;4.185;4.39;4.346;4.323;0.574;0.46;0.49;0.481
HowTo_1080P-2b64;HowTo;1080;147;4.221;4.136;4.055;4.169;0.511;0.575;0.508;0.581
HowTo_1080P-36a9;HowTo;1080;116;4.427;4.208;4.16;4.14;0.445;0.626;0.645;0.569
HowTo_1080P-4d7b;HowTo;1080;113;4.199;3.897;4.308;4.397;0.407;0.517;0.517;0.483
HowTo_1080P-52bb;HowTo;1080;130;4.272;4.515;4.438;4.255;0.55;0.43;0.483;0.555
HowTo_1080P-55d1;HowTo;1080;133;4.102;3.988;3.95;3.947;0.593;0.517;0.461;0.526
HowTo_1080P-63b4;HowTo;1080;140;4.286;4.301;4.354;4.167;0.474;0.476;0.443;0.375
HowTo_1080P-63e4;HowTo;1080;139;3.948;4.219;4.007;3.915;0.477;0.612;0.473;0.55
HowTo_1080P-63ec;HowTo;1080;133;4.229;4.166;4.487;4.219;0.558;0.654;0.48;0.583
HowTo_1080P-64f7;HowTo;1080;151;4.454;4.168;4.405;4.464;0.468;0.622;0.475;0.517
HowTo_1080P-6cbf;HowTo;1080;131;1.915;1.856;1.848;1.649;0.801;0.691;0.667;0.589
HowTo_1080P-7399;HowTo;1080;151;4.194;4.066;4.188;4.183;0.608;0.521;0.607;0.676
HowTo_1080P-763c;HowTo;1080;126;3.957;3.817;3.972;4.387;0.465;0.498;0.513;0.509
HowTo_1080P-7cf2;HowTo;1080;117;3.717;3.656;3.837;3.529;0.493;0.573;0.613;0.603
HowTo_1080P-7f18;HowTo;1080;133;3.718;3.743;3.918;3.621;0.499;0.539;0.739;0.76
HowTo_1080P-7f4c;HowTo;1080;132;4.092;4.098;3.971;4.066;0.579;0.642;0.572;0.721
HowTo_360P-041c;HowTo;360;122;3.214;2.906;2.856;2.969;0.511;0.607;0.555;0.614
HowTo_360P-0562;HowTo;360;126;3.261;3.27;3.225;3.168;0.492;0.479;0.495;0.494
HowTo_360P-06be;HowTo;360;122;3.601;3.475;3.476;3.451;0.452;0.474;0.456;0.45
HowTo_360P-09f8;HowTo;360;110;2.951;2.757;2.711;2.721;0.602;0.637;0.569;0.531
HowTo_360P-127f;HowTo;360;114;3.332;2.979;2.702;2.825;0.549;0.623;0.548;0.615
HowTo_360P-1823;HowTo;360;125;3.056;2.49;2.61;2.818;0.584;0.571;0.547;0.613
HowTo_360P-18e7;HowTo;360;123;2.78;2.843;2.715;2.454;0.632;0.67;0.643;0.586
HowTo_360P-1dba;HowTo;360;126;1.907;1.593;1.722;1.776;0.764;0.475;0.531;0.623
HowTo_360P-2074;HowTo;360;127;3.536;3.427;3.44;3.369;0.452;0.488;0.43;0.403
HowTo_360P-2a3b;HowTo;360;114;2.589;2.277;2.379;2.778;0.652;0.605;0.597;0.704
HowTo_360P-2d35;HowTo;360;124;2.847;2.667;2.585;2.587;0.632;0.601;0.583;0.477
HowTo_360P-2fd5;HowTo;360;127;2.049;1.52;1.682;1.811;1.027;0.607;0.74;0.82
HowTo_360P-3aa6;HowTo;360;126;3.019;2.949;2.888;3.026;0.629;0.613;0.575;0.567
HowTo_360P-4276;HowTo;360;115;3.448;3.262;3.11;3.191;0.489;0.498;0.598;0.528
HowTo_360P-4e4c;HowTo;360;119;3.005;2.631;2.99;3.189;0.615;0.589;0.624;0.59
HowTo_360P-55e9;HowTo;360;140;3.496;3.472;3.529;3.677;0.496;0.424;0.505;0.484
HowTo_360P-5da7;HowTo;360;122;3.425;3.27;3.371;3.349;0.576;0.543;0.526;0.489
HowTo_360P-6093;HowTo;360;113;3.205;3.051;2.996;3.209;0.513;0.57;0.646;0.486
HowTo_360P-6a0e;HowTo;360;139;2.104;1.762;1.856;1.75;0.85;0.668;0.715;0.659
HowTo_360P-7083;HowTo;360;131;3.031;2.948;2.824;2.898;0.636;0.601;0.543;0.574
HowTo_360P-7dcd;HowTo;360;144;3.035;3.039;2.983;2.961;0.62;0.625;0.611;0.589
HowTo_360P-7fb1;HowTo;360;114;3.322;3.278;3.064;3.102;0.549;0.538;0.642;0.623
HowTo_480P-04f1;HowTo;480;134;3.454;3.187;3.26;3.438;0.489;0.526;0.511;0.425
HowTo_480P-0cb3;HowTo;480;132;3.592;3.444;3.485;3.537;0.503;0.527;0.463;0.543
HowTo_480P-0d00;HowTo;480;142;3.998;4.046;4.043;4.028;0.625;0.634;0.631;0.665
HowTo_480P-0eb3;HowTo;480;121;2.507;2.226;2.425;2.451;0.563;0.531;0.529;0.493
HowTo_480P-118d;HowTo;480;145;1.462;1.206;1.155;1.202;0.76;0.379;0.292;0.392
HowTo_480P-15c1;HowTo;480;116;3.264;3.244;3.02;3.101;0.698;0.666;0.644;0.739
HowTo_480P-187c;HowTo;480;134;3.321;3.223;3.094;3.128;0.503;0.564;0.55;0.508
HowTo_480P-221e;HowTo;480;113;3.283;3.135;3.22;3.12;0.576;0.631;0.652;0.651
HowTo_480P-2610;HowTo;480;121;2.981;2.797;3.036;2.931;0.543;0.599;0.624;0.632
HowTo_480P-32c9;HowTo;480;134;2.51;2.393;2.532;2.295;0.73;0.723;0.76;0.664
HowTo_480P-3435;HowTo;480;126;3.93;3.971;4.148;4.061;0.483;0.547;0.537;0.563
HowTo_480P-4332;HowTo;480;104;2.356;2.443;2.34;2.286;0.564;0.74;0.607;0.589
HowTo_480P-470b;HowTo;480;118;3.858;3.661;3.838;3.862;0.547;0.512;0.544;0.534
HowTo_480P-48ac;HowTo;480;123;3.1;2.826;3.066;3.081;0.666;0.517;0.641;0.627
HowTo_480P-4948;HowTo;480;120;2.551;2.453;2.498;2.655;0.611;0.572;0.523;0.571
HowTo_480P-4a28;HowTo;480;127;3.659;3.622;3.622;3.407;0.476;0.517;0.528;0.494
HowTo_480P-4b6a;HowTo;480;106;2.763;2.464;2.45;2.409;0.689;0.518;0.538;0.604
HowTo_480P-4c99;HowTo;480;111;2.94;2.569;2.763;3.151;0.616;0.522;0.672;0.611
HowTo_480P-56a5;HowTo;480;103;4.085;3.863;3.947;4.143;0.522;0.495;0.547;0.595
HowTo_480P-5a3c;HowTo;480;113;3.088;3.045;3.016;2.998;0.619;0.655;0.575;0.612
HowTo_480P-60b3;HowTo;480;109;3.576;3.419;2.92;3.208;0.531;0.521;0.669;0.635
HowTo_480P-63a2;HowTo;480;128;3.559;3.562;3.525;3.482;0.51;0.467;0.523;0.516
HowTo_480P-64a2;HowTo;480;118;2.836;3.621;2.844;1.81;0.682;0.459;0.648;0.726
HowTo_480P-7579;HowTo;480;110;4.079;3.808;4.113;4.109;0.596;0.45;0.556;0.432
HowTo_480P-7c11;HowTo;480;127;3.267;3.203;3.109;3.174;0.537;0.529;0.585;0.531
HowTo_720P-017a;HowTo;720;106;3.762;3.751;3.755;3.876;0.492;0.496;0.496;0.483
HowTo_720P-06eb;HowTo;720;143;4.13;3.98;4.145;4.109;0.624;0.709;0.687;0.63
HowTo_720P-0a67;HowTo;720;149;4.315;4.304;4.319;4.301;0.455;0.516;0.466;0.506
HowTo_720P-0b01;HowTo;720;119;4.111;4.088;3.999;3.916;0.404;0.441;0.374;0.47
HowTo_720P-0c47;HowTo;720;140;4.364;4.221;3.938;4.075;0.443;0.443;0.496;0.439
HowTo_720P-111e;HowTo;720;112;3.938;3.909;3.948;3.979;0.45;0.489;0.511;0.43
HowTo_720P-12f7;HowTo;720;130;3.3;3.124;3.138;2.926;0.522;0.476;0.523;0.599
HowTo_720P-21c6;HowTo;720;117;2.838;2.549;2.588;2.707;0.593;0.508;0.523;0.505
HowTo_720P-269e;HowTo;720;107;3.643;3.653;3.639;3.575;0.614;0.682;0.615;0.484
HowTo_720P-2cc6;HowTo;720;137;2.814;2.577;2.852;2.741;0.691;0.646;0.62;0.619
HowTo_720P-3282;HowTo;720;120;3.005;2.607;2.749;2.639;0.708;0.621;0.721;0.692
HowTo_720P-37d0;HowTo;720;147;4.429;4.349;4.389;4.576;0.468;0.471;0.421;0.448
HowTo_720P-3813;HowTo;720;129;3.072;2.85;2.949;3.011;0.637;0.639;0.638;0.635
HowTo_720P-3a5d;HowTo;720;117;2.536;2.371;2.308;1.824;0.585;0.64;0.596;0.698
HowTo_720P-479b;HowTo;720;114;3.62;3.563;3.408;3.592;0.456;0.517;0.504;0.462
HowTo_720P-483c;HowTo;720;125;3.485;3.197;3.056;3.494;0.516;0.551;0.64;0.648
HowTo_720P-4d55;HowTo;720;122;3.947;4.249;4.149;4.316;0.475;0.46;0.423;0.462
HowTo_720P-4d9e;HowTo;720;117;3.688;3.238;3.254;3.18;0.603;0.594;0.534;0.638
HowTo_720P-6323;HowTo;720;114;3.732;3.468;3.392;3.499;0.431;0.468;0.505;0.464
HowTo_720P-6791;HowTo;720;134;2.263;2.352;1.759;1.626;1.063;0.998;0.782;0.72
HowTo_720P-7782;HowTo;720;114;3.761;3.761;3.49;3.693;0.475;0.504;0.523;0.586
HowTo_720P-7878;HowTo;720;140;3.674;3.692;3.308;3.571;0.578;0.585;0.677;0.579
HowTo_720P-7c38;HowTo;720;118;4.074;4.188;3.87;3.929;0.674;0.508;0.523;0.485
Lecture_1080P-011f;Lecture;1080;122;3.59;3.602;3.601;3.535;0.548;0.471;0.527;0.463
Lecture_1080P-0201;Lecture;1080;121;3.826;3.493;3.6;3.548;0.535;0.586;0.489;0.608
Lecture_1080P-0c8a;Lecture;1080;127;4.55;4.532;4.496;4.494;0.443;0.395;0.398;0.421
Lecture_1080P-0eb8;Lecture;1080;113;3.725;3.635;3.667;3.635;0.458;0.431;0.462;0.435
Lecture_1080P-1709;Lecture;1080;133;4.172;4.256;4.3;4.2;0.665;0.568;0.551;0.652
Lecture_1080P-1969;Lecture;1080;118;3.649;3.51;3.602;3.553;0.451;0.474;0.429;0.438
Lecture_360P-03bc;Lecture;360;130;2.762;2.212;2.507;2.724;0.71;0.603;0.585;0.532
Lecture_360P-051a;Lecture;360;131;2.64;2.377;2.254;2.184;0.644;0.557;0.523;0.503
Lecture_360P-114f;Lecture;360;128;4.172;4.022;4.097;3.824;0.588;0.583;0.601;0.493
Lecture_360P-20c3;Lecture;360;116;3.133;3.029;3.1;2.955;0.513;0.567;0.601;0.596
Lecture_360P-2276;Lecture;360;124;3.742;3.803;3.715;3.635;0.497;0.49;0.439;0.52
Lecture_360P-27db;Lecture;360;122;3.092;2.992;3.011;3.045;0.625;0.618;0.622;0.564
Lecture_360P-2c55;Lecture;360;115;3.717;3.579;3.736;3.676;0.433;0.491;0.475;0.503
Lecture_360P-2d1f;Lecture;360;112;3.62;3.494;3.396;3.432;0.463;0.51;0.488;0.472
Lecture_360P-30eb;Lecture;360;117;3.35;3.069;3.158;3.264;0.494;0.537;0.55;0.528
Lecture_360P-311d;Lecture;360;110;3.603;3.494;3.477;3.526;0.474;0.464;0.497;0.499
Lecture_360P-3590;Lecture;360;120;3.702;3.61;3.583;3.479;0.497;0.514;0.49;0.508
Lecture_360P-44c2;Lecture;360;122;3.389;3.361;3.146;3.102;0.486;0.51;0.48;0.654
Lecture_360P-4bb4;Lecture;360;122;3.822;3.73;3.631;3.508;0.432;0.459;0.496;0.483
Lecture_360P-4f00;Lecture;360;133;3.172;3.178;3.104;3.09;0.686;0.513;0.492;0.481
Lecture_360P-506c;Lecture;360;130;3.168;3.055;2.865;2.662;0.633;0.617;0.579;0.57
Lecture_360P-5594;Lecture;360;116;3.367;3.35;3.432;3.361;0.506;0.528;0.573;0.586
Lecture_360P-5779;Lecture;360;129;3.069;3.102;3.042;3.044;0.598;0.574;0.549;0.592
Lecture_360P-5aea;Lecture;360;124;3.088;2.844;2.628;2.849;0.679;0.612;0.597;0.704
Lecture_360P-5d0a;Lecture;360;135;3.416;3.242;3.346;3.297;0.485;0.476;0.514;0.407
Lecture_360P-63bf;Lecture;360;122;3.267;3.348;3.191;3.437;0.468;0.483;0.457;0.446
Lecture_360P-6656;Lecture;360;132;3.458;2.995;3.406;3.649;0.498;0.717;0.51;0.5
Lecture_360P-6702;Lecture;360;139;3.819;3.55;3.628;3.472;0.541;0.428;0.392;0.459
Lecture_360P-6d29;Lecture;360;134;2.99;2.604;2.76;3.088;0.57;0.492;0.525;0.515
Lecture_360P-7550;Lecture;360;129;3.033;2.99;3.121;3.366;0.568;0.562;0.617;0.545
Lecture_360P-7a57;Lecture;360;115;3.493;3.269;3.347;2.946;0.47;0.491;0.557;0.619
Lecture_360P-7f7e;Lecture;360;103;3.679;3.637;3.335;3.348;0.52;0.514;0.508;0.59
Lecture_480P-02f2;Lecture;480;109;3.261;3.085;2.978;3.072;0.532;0.671;0.601;0.592
Lecture_480P-10de;Lecture;480;118;3.744;3.724;3.661;3.444;0.475;0.498;0.44;0.477
Lecture_480P-11df;Lecture;480;124;3.514;3.441;3.335;3.443;0.496;0.44;0.509;0.458
Lecture_480P-181a;Lecture;480;134;1.785;1.483;1.779;1.843;0.698;0.605;0.696;0.614
